Route,RouteName,Color,TextColor
112,WEST MALL,#da251d,#ffffff
113,Danforth,#da251d,#ffffff
114,QUEENS QUAY EAST,#da251d,#ffffff
115,SILVER HILLS,#ffffff,#da251d
116,MORNINGSIDE,#da251d,#ffffff
117,BIRCHMOUNT SOUTH,#da251d,#ffffff
118,THISTLE DOWN,#da251d,#ffffff
119,TORBARRIE,#ffffff,#da251d
120,CALVINGTON,#da251d,#ffffff
121,ESPLANADE-RIVER,#da251d,#ffffff
122,GRAYDON HALL,#da251d,#ffffff
123,SHERWAY,#da251d,#ffffff
124,SUNNYBROOK,#da251d,#ffffff
125,DREWRY,#da251d,#ffffff
126,CHRISTIE,#da251d,#ffffff
127,DAVENPORT,#da251d,#ffffff
128,STANLEY GREENE,#ffffff,#da251d
129,MCCOWAN NORTH,#da251d,#ffffff
130,MIDDLEFIELD,#da251d,#ffffff
131,NUGGET,#da251d,#ffffff
132,MILNER,#da251d,#ffffff
133,NEILSON,#da251d,#ffffff
134,PROGRESS,#da251d,#ffffff
135,GERRARD,#da251d,#ffffff
149,ETOBICOKE-BLOOR,#da251d,#ffffff
154,CURRAN HALL,#da251d,#ffffff
160,BATHURST NORTH,#ffffff,#da251d
161,ROGERS RD,#da251d,#ffffff
162,LAWRENCE-DONWAY,#ffffff,#da251d
164,CASTLEFIELD,#da251d,#ffffff
165,WESTON RD NORTH,#da251d,#ffffff
167,PHARMACY NORTH,#ffffff,#da251d
168,SYMINGTON,#da251d,#ffffff
169,HUNTINGWOOD,#ffffff,#da251d
171,MOUNT DENNIS,#da251d,#ffffff
184,Ancaster Park,#da251d,#ffffff
185,SHEPPARD CENTRAL,#da251d,#ffffff
189,STOCKYARDS,#da251d,#ffffff
191,UNDERHILL,#eb6fbd,#ffffff
200,TORONTO ZOO,#da251d,#ffffff
201,BLUFFER'S PARK,#da251d,#ffffff
202,CHERRY BEACH,#da251d,#ffffff
300,BLOOR-DANFORTH,#fffffff,#024182
302,KINGSTON RD-MCCOWAN,#fffffff,#024182
307,BATHURST,#fffffff,#024182
315,EVANS-BROWN'S LINE,#fffffff,#024182
320,YONGE,#fffffff,#024182
322,COXWELL,#fffffff,#024182
324,VICTORIA PARK,#fffffff,#024182
325,DON MILLS,#fffffff,#024182
329,DUFFERIN,#fffffff,#024182
332,EGLINTON WEST,#fffffff,#024182
334,EGLINTON EAST,#fffffff,#024182
335,JANE,#fffffff,#024182
336,FINCH WEST,#fffffff,#024182
337,ISLINGTON,#fffffff,#024182
339,FINCH EAST,#fffffff,#024182
340,Junction,#fffffff,#024182
341,KEELE,#fffffff,#024182
343,KENNEDY,#fffffff,#024182
352,LAWRENCE WEST,#fffffff,#024182
353,STEELES,#fffffff,#024182
354,LAWRENCE EAST,#fffffff,#024182
363,OSSINGTON,#fffffff,#024182
365,PARLIAMENT,#fffffff,#024182
384,SHEPPARD WEST,#fffffff,#024182
385,SHEPPARD EAST,#fffffff,#024182
395,YORK MILLS,#fffffff,#024182
396,WILSON,#fffffff,#024182
400,LAWRENCE MANOR,#ffffff,#8f8f8f
402,PARKDALE,#ffffff,#8f8f8f
403,SOUTH DON MILLS,#ffffff,#8f8f8f
404,EAST YORK,#ffffff,#8f8f8f
405,ETOBICOKE,#ffffff,#8f8f8f
406,SCARBOROUGH-GUILDWOOD,#ffffff,#8f8f8f
900,AIRPORT EXPRESS,#eb6fbd,#ffffff
902,MARKHAM RD EXPRESS,#eb6fbd,#ffffff
903,KENNEDY STN-SCARBOROUGH EXPRESS,#eb6fbd,#ffffff
904,SHEPPARD-KENNEDY EXPRESS,#eb6fbd,#ffffff
905,EGLINTON EAST EXPRESS,#eb6fbd,#ffffff
924,VICTORIA PARK EXPRESS,#eb6fbd,#ffffff
925,DON MILLS EXPRESS,#eb6fbd,#ffffff
927,HIGHWAY 27 EXPRESS,#eb6fbd,#ffffff
929,DUFFERIN EXPRESS,#eb6fbd,#ffffff
935,JANE EXPRESS,#eb6fbd,#ffffff
937,ISLINGTON EXPRESS,#eb6fbd,#ffffff
938,HIGHLAND CREEK EXPRESS,#eb6fbd,#ffffff
939,FINCH EXPRESS,#eb6fbd,#ffffff
941,KEELE EXPRESS,#eb6fbd,#ffffff
944,KIPLING SOUTH EXPRESS,#eb6fbd,#ffffff
945,KIPLING EXPRESS,#eb6fbd,#ffffff
952,LAWRENCE WEST EXPRESS,#eb6fbd,#ffffff
953,STEELES EAST EXPRESS,#eb6fbd,#ffffff
954,LAWRENCE EAST EXPRESS,#eb6fbd,#ffffff
960,STEELES WEST EXPRESS,#eb6fbd,#ffffff
968,WARDEN EXPRESS,#eb6fbd,#ffffff
984,SHEPPARD WEST EXPRESS,#eb6fbd,#ffffff
985,SHEPPARD EAST EXPRESS,#eb6fbd,#ffffff
986,SCARBOROUGH EXPRESS,#eb6fbd,#ffffff
989,WESTON EXPRESS,#eb6fbd,#ffffff
995,YORK MILLS EXPRESS,#eb6fbd,#ffffff
996,WILSON EXPRESS,#eb6fbd,#ffffff
