stop_id,stop_name,lat,lon,sequences
206,Bathurst St at Steeles Ave West North Side,43.793044,-79.44571,160:28
209,Bathurst St at Strathearn Rd,43.692041,-79.422014,307:49
210,Bathurst St at Tichester Rd South Side,43.685088,-79.41918,307:51
211,Bathurst St at Tichester Rd,43.685297,-79.41907,7:9
213,Bathurst St at Ulster St,43.659869,-79.409188,307:61
214,Bathurst St at Vesta Dr,43.703148,-79.425728,33:2|7:15
215,Bathurst St at Viewmount Ave South Side,43.710114,-79.42769,307:42
216,Bathurst St at Warwick Ave,43.695352,-79.423363,307:48
219,Bathurst St at Wells St,43.670003,-79.413019,7:3
220,Bathurst St at Southbourne Ave,43.738382,-79.434132,160:5|7:32
221,Bathurst St at Wilson Ave,43.737188,-79.433814,7:31
222,Bathurst St at Wilson Ave South Side,43.736782,-79.43401,307:29|400:2
224,Bathurst St at Woburn Ave,43.722434,-79.430385,7:25
225,4600 Bathurst St,43.762602,-79.44037,307:18
226,Opposite 4600 Bathurst St,43.762333,-79.439959,160:14|7:41
227,Bathurst St at York Downs Dr,43.747065,-79.436285,160:8|7:35
228,Bathurst St at York Downs Dr,43.747362,-79.436588,307:24
229,Bathurst St at Yorkview Dr South Side,43.772311,-79.442749,307:14
230,Bathurst St at Yorkview Dr,43.772251,-79.442408,160:18|7:45
232,Bay St at Adelaide St West,43.649997,-79.380909,19:19
234,Bay St at Albert St,43.653029,-79.38278,19:17
235,Bay St at Bloor St West - Bay Station,43.670012,-79.389721,19:7
236,Bay St at Charles St West South Side,43.667981,-79.388876,19:8
239,Bay St at College St,43.660921,-79.386005,19:12
242,Bay St at Dundas St West,43.655825,-79.383879,19:15
245,Bay St at Elm St,43.657387,-79.384516,19:14
246,Bay St at Front St West South Side - Union Station,43.645484,-79.378997,121:17|320:68
249,Bay St at Gerrard St West,43.6586,-79.38502,19:13
251,Bay St at Grosvenor St,43.662647,-79.386557,19:11
253,Bay St at Hagerman St,43.654565,-79.383369,19:16
254,Bay St at Harbour St South Side - Jack Layton Ferry Terminal,43.641735,-79.377377,320:69
259,Bathurst St at Clark Ave West South Side,43.8029,-79.448396,160:52
260,Bay St at Queen St West,43.651901,-79.382172,19:18
262,Bay St at Queens Quay West North Side - Jack Layton Ferry Terminal,43.641686,-79.377069,114:18
265,Bay St at St Joseph St,43.665791,-79.387868,19:9
267,Bay St at Wellesley St West South Side,43.663965,-79.387105,19:10
277,Clark Ave West at York Hill Blvd,43.804157,-79.44469,160:51
279,Bayview Ave at The Bridle Path,43.738568,-79.382416,11:31
281,Bayview Ave at Burleigh Heights Dr South Side,43.779345,-79.390994,11:13
283,Bayview Ave at Byng Ave South Side,43.781659,-79.391546,11:12
287,Bayview Ave at Cummer Ave,43.792342,-79.393719,11:7
288,Bayview Ave at Empress Ave South Side,43.77398,-79.389824,11:16
291,Bayview Ave at Fifeshire Rd (South) South Side,43.75459,-79.385637,11:23
293,Bayview Ave at Finch Ave East,43.785158,-79.392374,11:10
295,Bayview Ave at Forest Heights Blvd,43.758165,-79.386317,11:22
299,2350 Bayview Ave - The Granite Club,43.734133,-79.381593,11:33|162:28
303,Bayview Ave at Hillcrest Ave,43.772666,-79.389534,11:17
304,Bayview Ave at Hollywood Ave,43.770859,-79.389136,11:18
305,Bayview Ave at Holmes Ave,43.783024,-79.391817,11:11
307,Bayview Ave at McKee Ave,43.778139,-79.390729,11:14
308,3292 Bayview Ave,43.789946,-79.393248,11:8
309,Bayview Ave at Newton Dr,43.799231,-79.395302,11:4
310,Bayview Ave at Opposite Garnier Park,43.800927,-79.395689,11:3
312,Bayview Ave at Post Rd,43.736547,-79.382082,11:32
314,Bayview Ave at Ruddington Dr South Side,43.787767,-79.3928,11:9
316,Bayview Ave at Ruth Ave,43.794226,-79.394137,11:6
318,Bayview Ave at Sheppard Ave East - Bayview Station,43.766792,-79.388244,11:20
322,Bayview Ave at Steeles Ave East South Side,43.802654,-79.39615,11:2
325,Bayview Ave at Valley Rd,43.744116,-79.383516,11:28
327,Bayview Ave at York Rd South Side,43.745809,-79.383845,11:27
329,Bayview Ave at York Mills Rd,43.748322,-79.384408,11:25
330,Bayview Ave at York Mills Rd South Side,43.747363,-79.384148,11:26
333,Bedford Rd at Bernard Ave South Side,43.673121,-79.399388,26:38
334,Bedford Rd at Davenport Rd,43.674533,-79.399915,19:3|26:37
336,Bedford Rd at Lowther Ave,43.670422,-79.398356,26:39
339,130 Bellamy Rd North,43.742221,-79.230355,9:22
342,Bellamy Rd North at Ben Alder Dr,43.760089,-79.236288,9:14
343,Bellamy Rd North at Benleigh Dr South Side,43.763167,-79.237531,9:13
344,Bellamy Rd North at Braeburn Blvd South Side,43.749205,-79.232357,9:19
346,Bellamy Rd North at Brimorton Dr,43.767658,-79.239344,9:11
348,Bellamy Rd North at Burnview Cres South Side,43.753661,-79.234194,9:17
349,Bellamy Rd North at Cedar Brae Blvd,43.751811,-79.233421,9:18
350,Bellamy Rd North at Eastpark Blvd South Side,43.755326,-79.234948,9:16
353,Bellamy Rd North at Eglinton Ave East - Eglinton GO Station,43.740531,-79.232292,9:23
354,Bellamy Rd North at Ellesmere Rd South Side,43.773883,-79.241768,9:8
358,Bellamy Rd North at Grace St South Side,43.743276,-79.229867,9:21
360,Bellamy Rd North at Jarwick Dr,43.766248,-79.23877,9:12
362,Bellamy Rd North at Lawrence Ave East,43.757906,-79.235467,9:15
363,Bellamy Rd North at Lynnbrook Dr,43.772762,-79.241395,9:9
364,Bellamy Rd North at Nelson St South Side,43.746267,-79.2311,9:20
367,Bellamy Rd North at Northleigh Dr,43.769705,-79.240156,9:10
374,Birchmount Rd at Ashtonbee Rd,43.733018,-79.279087,17:53
376,1120 Birchmount Rd,43.736931,-79.280673,17:51
377,1792 Birchmount Rd,43.765388,-79.291431,17:39
378,Birchmount Rd at Bay Mills Blvd,43.783702,-79.299549,17:32
380,Birchmount Rd at Bertrand Ave,43.735389,-79.280047,17:52
383,Birchmount Rd at Bonniewood Rd South Side,43.72737,-79.277056,17:55
387,Birchmount Rd at Canadian Rd,43.761471,-79.290724,17:41
389,Birchmount Rd at Carncastle Gate,43.777111,-79.296393,17:35
391,Birchmount Rd at Cass Ave,43.779043,-79.297223,17:34
392,Birchmount Rd at Chaldean St,43.793417,-79.303706,17:29
393,Birchmount Rd at Chelwood Rd,43.725505,-79.27619,17:56
396,Birchmount Rd at Comstock Rd,43.723821,-79.275484,17:57
398,Birchmount Rd at Crouse Rd,43.740861,-79.282287,17:49
401,Birchmount Rd at Denison St,43.832967,-79.318991,17:13
404,Birchmount Rd at Eglinton Ave East,43.730225,-79.278075,17:54
407,Birchmount Rd at Ellesmere Rd,43.763616,-79.291569,17:40
409,Birchmount Rd at Exford Dr,43.755068,-79.288083,17:43
410,Birchmount Rd at Ferguson Gate,43.829894,-79.317913,17:14
414,Birchmount Rd at Flora Dr,43.742233,-79.28283,17:48
415,Birchmount Rd at 14th Ave South Side,43.839298,-79.320309,17:10
416,Birchmount Rd at Foxridge Dr South Side,43.721543,-79.274496,17:58
418,Birchmount Rd at Fundy Bay Blvd,43.810951,-79.312305,17:22
421,1360 Birchmount Rd,43.749748,-79.285884,17:45
426,Birchmount Rd at Huntingwood Dr,43.790601,-79.302489,17:30
428,Birchmount Rd at L'Amoreaux Dr,43.800672,-79.307267,17:26
430,Birchmount Rd at Lawrence Ave East,43.747757,-79.285096,17:46
431,2450 Birchmount Rd - Stephen Leacock Collegiate,43.786076,-79.300578,17:31
434,Birchmount Rd at McNicoll Ave,43.808754,-79.311362,17:23
436,Birchmount Rd at Merryfield Dr,43.752111,-79.286846,17:44
437,Birchmount Rd at Modern Rd,43.744265,-79.283661,17:47
440,Birchmount Rd at Pinegrove Ave,43.698101,-79.264342,20:14
442,Birchmount Rd at Ranstone Gardens,43.738819,-79.281447,17:50
446,Birchmount Rd at Rolark Dr,43.767899,-79.292518,17:38
447,Birchmount Rd at Scarden Ave,43.774297,-79.295184,17:36
449,Birchmount Rd at Sheppard Ave East,43.781222,-79.298411,17:33
454,Birchmount Rd at Staley Ter,43.807046,-79.310572,17:24
456,Birchmount Rd at Steeles Ave East,43.821616,-79.317153,17:17
